TI,DE,ID,AB,PY
New applications for single-sided nuclear magnetic resonance in building materials research,nuclear magnetic resonance; construction materials; concrete; polymer mortar; porosity moisture,,"Single-sided nuclear magnetic resonance NMR is a powerful tool to evaluate structure surface properties. Relevant information can be gained non-destructively up to a depth of 25 mm with highly precise depth resolutions. As with all non-destructive measurement techniques, single-sided NMR only provides indirect information. The interpretation requires experience as well as controlled laboratory measurements for correlation with material properties. In this paper, several examples for the application of single-sided NMR for the research on construction and rehabilitation materials are reported. The applications include the non-destructive evaluation of polymer mortars, the swelling behaviour of polymer roof membranes as well as the characterisation of mortar and concrete porosity. Limitations as well as future applications are discussed.",2018
In situ and nondestructive characterization of mechanical properties of heritage stone masonry,Nondestructive method; Masonry mechanical characterization; Cultural heritage; Temple of San Antonio de Padua,STRENGTH; VELOCITY; COMPRESSION; CONCRETE; BEHAVIOR; POROSITY; TESTS,"The necessity of conserving and preserving the heritage is nowadays a developing study line for several researchers. From a civil engineering perspective, one of the most important issues for the conservation of historical buildings is to ensure the structural stability. For this purpose, it is necessary to determine the mechanical properties of the ancient construction materials. However, these structures cannot be evaluated by destructive tests due to politics and restrictions for preserving the heritage built. As a consequence, new methods that do not put in risk the integrity of the materials and the structure are becoming useful tools for researchers who work on structural engineering of heritage buildings. This paper presents a nondestructive method (NDM) that has been used to characterize the mechanical properties of different constructive systems of the San Antonio de Padua Temple, which is a religious icon in Aguascalientes, Mexico. This method includes the measuring of seismic waves' travel time in order to obtain shear and compressional velocity waves. Results show that with this method mechanical properties of masonry can be obtained such as Young's modulus, Poisson ratio and bulk density, which are needed for the structural analysis using numerical simulation models.",2018
Optimizing mortar extrusion using poplar wood sawdust for masonry building block,Extrusion; Sand mortars; Cement-based composites; Sawdust; Poplar wood; Buildingblocks,CEMENT; COMPATIBILITY; HYDRATION; COMPOSITES; BEHAVIOR; PASTES; PAPER,"The wood industry generates some 12 million tons of waste in France, 60% of which basically stems from sawmills. The reuse of this waste in the most common construction materials (e.g., concrete) may offer a sustainable solution. In the literature, the optimization of composites formulations generally focuses on aggregates plant pretreatment regardless of classical optimization parameters and the implementation process that can afford to get a high strength composite. The work presented herein is intended to optimize the mix design of a mortar made from poplar wood by-products, without involving any pretreatment. The conventional mix design parameters (i.e., paste volume, W/C ratio) have been varied. An optimal implementation technique (i.e., extrusion) was used. The wood mortar mix designs have been optimized in order to obtain composites compliant with French standard NF EN 771-3/CN, with respect to criteria regarding both dimensional tolerance and mechanical strength for structural elements (i.e., above 8 MPa at 7 days).A mortar mix design, optimized by means of extrusion, has been used as a reference. Poplar wood particles have been introduced through substitution for the sand volume. Test results indicate that the blocks produced from two wood mortar mixes with 60 and 70% wood aggregate-for-sand substitution rates are in line with the normative requirements relative to dimensional tolerances and mechanical strength. This material compliance underscores the potential use of such blocks as load-bearing masonry elements, thus facilitating the building of structures with a limited environmental impact.",2018
Assessing the greenhouse gas effects of harvested wood products manufactured from managed forests in Canada,,LIFE-CYCLE ASSESSMENT; UNITED-STATES; RESIDENTIAL CONSTRUCTION; BUILDING CONSTRUCTION; CARBON STOCKS; MITIGATION; SUBSTITUTION; IMPACTS; CONCRETE; ALTERNATIVES,"We developed a life-cycle analysis (LCA) system to quantify the carbon dynamics for Canadian-made harvested wood products (HWP). We considered the carbon stocks of HWP in use and in landfills/dumps, emissions reduced by substituting HWP for non-wood construction materials, HWP production emissions and methane emissions from decomposing wood disposed of in landfills. Carbon dynamics analyses were conducted for five HWP production scenarios. Results indicate structural panels have the highest potential in mitigating greenhouse gases (GHG) emissions, followed by lumber and non-structural panels. Net GHG effects of Canadian-made HWP were evaluated by integrating HWP carbon dynamics with forest carbon analysis using four forest management units (a total of 2.21 million ha of forests managed for timber production) from Ontario, Canada, as a case study. If HWP substitution benefits were estimated using the average displacement factor, and the wood obtained by increasing harvesting (relative to the baseline harvest scenario) in these four management units is used for structural panel, lumber, non-structural panel and business as usual HWP production, 0, 21, 39 and 84 years are needed to achieve net emission reductions, respectively; net emission reductions were, respectively, estimated to be 112, 93, 66 and 21 Mt CO2-equivalent in 100 years. Our results suggest harvesting sustainably managed forests in Canada to produce long-lived solid HWP can significantly contribute to GHG mitigation.",2018
Experimental characterization of thermal and hygric properties of hemp concrete with consideration of the material age evolution,,HYGROSCOPIC BUILDING-MATERIALS; MOISTURE TRANSFER; ACOUSTICAL PROPERTIES; MECHANICAL-PROPERTIES; COUPLED HEAT; LIME; CONDUCTIVITY; FORMULATION; PARTICLES; CAPACITY,"The incorporation of plant crops in construction materials offers very good hygrothermal performance to the building, ensuring substantial environmental and ecological benefits. This paper focuses on studying the evolution of hygrothermal properties of hemp concrete over age (7, 30 and 60 days). The analysis is done with respect to two main hygric and thermal properties, respectively: sorption isotherms, water vapor permeability, thermal conductivity and heat capacity. In fact, most of these parameters are very susceptible to change function of the age of the material. This influence of the aging is mainly due to the evolution of the microstructure with the binder hydration over time and the creation of new hydrates which can reduces the porosity of the material and consequently modify its properties. All the tested hemp concrete samples presented high moisture storage capacity and high-water vapor permeability whatever the age of such hygroscopic material. These hygric parameters increase significantly for high relative humidity requiring more consideration of such variability during the modeling of coupled heat and mass transfer within the material. By the same, the thermal conductivity and heat capacity tests highlighted the impact of the temperature and hygric state of the studied material.",2018
Current challenges and future directions for bacterial self-healing concrete,MICP; Self-healing concrete; Bacterial encapsulation; Self-healing assessment; Microbial activity; Calcium carbonate precipitation,CALCIUM-CARBONATE PRECIPITATION; SULFATE-REDUCING BACTERIA; BACILLUS-PASTEURII; CRACKS; BIOMINERALIZATION; BIOCALCIFICATION; DENITRIFICATION; MINERALIZATION; BIOREMEDIATION; MICROORGANISMS,"Microbially induced calcium carbonate precipitation (MICP) has been widely explored and applied in the field of environmental engineering over the last decade. Calcium carbonate is naturally precipitated as a byproduct of various microbial metabolic activities. This biological process was brought into practical use to restore construction materials, strengthen and remediate soil, and sequester carbon. MICP has also been extensively examined for applications in self-healing concrete. Biogenic crack repair helps mitigate the high maintenance costs of concrete in an eco-friendly manner. In this process, calcium carbonate precipitation (CCP)-capable bacteria and nutrients are embedded inside the concrete. These bacteria are expected to increase the durability of the concrete by precipitating calcium carbonate in situ to heal cracks that develop in the concrete. However, several challenges exist with respect to embedding such bacteria; harsh conditions in concrete matrices are unsuitable for bacterial life, including high alkalinity (pH up to 13), high temperatures during manufacturing processes, and limited oxygen supply. Additionally, many biological factors, including the optimum conditions for MICP, the molecular mechanisms involved in MICP, the specific microorganisms suitable for application in concrete, the survival characteristics of the microorganisms embedded in concrete, and the amount of MICP in concrete, remain unclear. In this paper, metabolic pathways that result in conditions favorable for calcium carbonate precipitation, current and potential applications in concrete, and the remaining biological challenges are reviewed.",2018
Radiation Attenuation and Stability of ClearView Radiation Shielding TMA Transparent Liquid High Radiation Shield,operational topics; accelerators; decommissioned; accidents; handling; Fukushima,,"Radiation exposure is a limiting factor to work in sensitive environments seen in nuclear power and test reactors, medical isotope production facilities, spent fuel handling, etc. The established choice for high radiation shielding is lead (Pb), which is toxic, heavy, and abidance by RoHS. Concrete, leaded (Pb) bricks are used as construction materials in nuclear facilities, vaults, and hot cells for radioisotope production. Existing transparent shielding such as leaded glass provides minimal shielding attenuation in radiotherapy procedures, which in some cases is not sufficient. To make working in radioactive environments more practicable while resolving the lead (Pb) issue, a transparent, lightweight, liquid, and lead-free high radiation shieldClearView Radiation Shielding(Radium Incorporated, 463 Dinwiddie Ave, Waynesboro, VA). was developed. This paper presents the motivation for developing ClearView, characterization of certain aspects of its use and performance, and its specific attenuation testing. Gamma attenuation testing was done using a 1.11 x 10(14) Bq Co-60 source and ANSI/HPS-N 13.11 standard. Transparency with increasing thickness, time stability of liquid state, measurements of physical properties, and performance in freezing temperatures are reported. This paper also presents a comparison of ClearView with existing radiation shields. Excerpts from LaSalle nuclear power plant are included, giving additional validation. Results demonstrated and strengthened the expected performance of ClearView as a radiation shield. Due to the proprietary nature of the work, some information is withheld.",2018
Effect of Temperature and Thermal Shock on Concrete Containing Hazardous Electronic Waste,Temperature; Thermal shock; Concrete; Electronic waste (E-waste); High-impact polystyrene (HIPS); Coarse aggregate,CEMENT MORTAR; PET BOTTLES; PLASTIC WASTE; AGGREGATE; FIBERS,"This paper presents an experimental investigation of the effect of temperature and thermal shock on the physical and mechanical properties of concrete (M25) incorporating electronic waste (E-waste). The concrete mixtures were prepared using 10, 20, 30, 40, 50% of E-waste plastic [high impact polystyrene (HIPS)] as a partial replacement per unit volume of coarse aggregate. The compressive strength, ultrasonic pulse velocity, and surface hardness of concrete specimens were examined before and after the thermal exposure. The concrete cube specimens with HIPS were heated to 100, 200, and 300 degrees C for 1 h using muffle furnace. The compressive strength of specimens at room temperature was decreased with an increase of HIPS content. However, the specimens retained the compressive strength of about 50 at 50% HIPS replacement. Similarly, the compressive strength of specimens subjected to elevated temperatures after thermal shock decreased with an increase of HIPS and temperature. The nondestructive tests were carried out using a rebound hammer and ultrasonic pulse velocity test. The rebound hammer results provides very consistent results similar to experimental values. Regardless the temperature, concrete incorporated upto 25% HIPS showed an ultrasonic pulse velocity within the limiting value 3,000 m/s. This study shows the feasiblility of using E-waste plastic (HIPS) in concrete as construction material in order to reduce the environmental pollution and conserve the natural resource from depletion. (c) 2017 American Society of Civil Engineers.",2018
"Beyond the Sorptivity: Definition, Measurement, and Properties of the Secondary Sorptivity",,WATER; SATURATION; CONCRETE,"Capillary imbibition in brick, stone, and concrete occurs in two stages. The primary process, which occurs in the standard test to measure sorptivity, is a spontaneous imbibition in which air is displaced by the invading liquid (usually water). In primary imbibition, the displacement of air is incomplete, and some air is trapped. The residual air content lies usually in the range 0.1-0.4 of the volume-fraction porosity. Primary imbibition is followed by a much slower secondary process in which trapped air in the interior of the material dissolves in the liquid phase and diffuses to the unsealed external surfaces, where it escapes. As air is lost, there is further imbibition of liquid to replace it. Eventually, all trapped air is lost, and the material reaches saturation. There is current interest in using the rate of secondary imbibition to define a secondary sorptivity, and speculation that this may be a useful property for characterizing porous construction materials, particularly in relation to durability. This paper analyzes the secondary imbibition process and provides a definition of the secondary sorptivity which is independent of the dimensions of the test specimen. The analysis is supported by experimental data on Ancaster and Portland limestone test materials.",2018
Mechanical properties of aerated cement slurry-infiltrated chicken mesh,Compressive strength; Flexure strength; Ferrocement; Foamed cement; Lightweight structures; Composite structures,FOAM CONCRETE,"Aerated slurry-infiltrated chicken mesh was evaluated as a ductile and lightweight material for building construction. The compressive strength of the aerated slurry, and the tensile, compressive and flexural behavior of the aerated slurry-infiltrated chicken mesh were evaluated. Aerated slurry provided a relatively low compressive strength, which did not suit load-bearing applications. Aerated slurry infiltrated chicken mesh, on the other hand, provided desired mechanical properties, including significantly improved compressive strength, for load-bearing applications. The system exhibited a ductile failure mode which can be attributed to the high specific surface area and the desired mechanical interlocking of the chicken mesh reinforcement. The effects of aeration on the system behavior were evaluated. A theoretical model was developed for evaluating the mechanical behavior of aerated slurry infiltrated chicken mesh. Aerated slurry-infiltrated chicken mesh offers a desired combination of light weight and mechanical characteristics for use as a building construction material. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Effect of roughness on interface shear behavior of sand with steel and concrete surface,interface; surface roughness; direct shear test; peak interface angle; residual interface angle; constitutive modeling,SOIL-STRUCTURE INTERFACE; BOX TESTS; STRENGTH; FRICTION; CAPACITY; SIZE,"The present study evaluates the interface shear strength between sand and different construction materials, namely steel and concrete, using direct shear test apparatus. The influence of surface roughness, mean size of sand particles, relative density of sand and size of the direct shear box on the interface shear behavior of sand with steel and concrete has been investigated. Test results show that the surface roughness of the construction materials significantly influences the interface shear strength. The peak and residual interface friction angles increase rapidly up to a particular value of surface roughness (critical surface roughness), beyond which the effect becomes negligible. At critical surface roughness, the peak and residual friction angles of the interfaces are 85-92% of the peak and residual internal friction angles of the sand. The particle size of sand (for morphologically identical sands) significantly influences the value of critical surface roughness. For the different roughness considered in the present study, both the peak and residual interaction coefficients lie in the range of 0.3-1. Moreover, the peak and residual interaction coefficients for all the interfaces considered are nearly identical, irrespective of the size of the direct shear box. The constitutive modeling of different interfaces followed the experimental investigation and it successfully predicted the pre-peak, peak and post peak interface shear response with reasonable accuracy. Moreover, the predicted stress-displacement relationship of different interfaces is in good agreement with the experimental results. The findings of the present study may also be applicable to other non-yielding interfaces having a similar range of roughness and sand properties.",2018
Utilization of marble powder as fine aggregate in mortar mixes,Mortar; Marble powder; Masonry; Rendering; Sustainability,MECHANICAL-PROPERTIES; CEMENT PASTE; CONCRETE; WASTE; HYDRATION; PERFORMANCE; EVOLUTION; STRENGTH; MASONRY; DUST,"The construction industry has been responsible for plaguing the environment due to ecological imbalance caused during the extraction and production of building materials. To make this production of construction materials cleaner, the dependency on natural resources has to be reduced. With this aim, marble powder which is a waste product generated during cutting and shaping of marble blocks has been evaluated as a replacement of conventional river sand in cement mortars. For this, four different mix proportions of mortars were evaluated in terms of workability, drying shrinkage, compressive strength, bond and adhesive strengths, density, water absorption and dynamic Young's modulus. Results show that mortar mixes with 20% substitution of river sand by marble powder can be used for masonry and rendering purposes. Such mortars have a distinctively dense microstructure which is a consequence of reduced water requirement and formation of superior quality of hydration products. These were confirmed by scanning electron microscope, thermogravimetric analysis and Fourier transform infrared spectroscopy techniques. Hence, by replacing sand to the tune of 20% by marble powder, would enable the construction industry to reduce their dependency on river sand. Additionally, by utilizing this non-biodegradable marble waste as a building material, would reduce the burden on landfills and therefore help the marble stone industry to be more sustainable. (C) 2018 Elsevier Ltd. All rights reserved.",2018
A novel type of controlled low strength material derived from alum sludge and green materials,Waterworks sludge; Waste recycling; Cement chemistry; CLSM; Construction materials; Flowability; Stiffening time; Fly ash,RECYCLING CONTAMINATED SEDIMENT; CEMENT-BONDED PARTICLEBOARDS; WATER-TREATMENT-PLANT; FLY-ASH; MIXTURE DESIGN; BINARY CEMENT; WASTE; HYDRATION; CONCRETE; WOOD,"The management and disposal of alum sludge generated from water treatment works is a worldwide issue. This study proposed an innovative method to utilize alum sludge as a partial replacement of recycled fine aggregate for producing controlled low strength material (CLSM). Various supplementary cementitious materials (SCMs) and accelerators were incorporated to produce CLSM with high flowability (>200 mm), relatively short stiffening time (<24 h), and moderate compressive strength (0.3-1 MPa). Cement chemistry and microstructure characteristics were evaluated by using isothermal calorimeter, quantitative X-ray diffraction, thermogravimetric analysis, and scanning electron microscopy analysis. The addition of alum sludge significantly increased water demand for maintaining sufficient flowability, resulting in long final stiffening time and low compressive strength. The high content of organic matter in alum sludge hampered the Ca(OH)(2) formation and pH increase, thus delaying the induction period of cement hydration. The binder composition played an important role in the stiffening time of CLSM. Pulverized fly ash (PFA) was found to be the most effective SCM for improving flowability and adjusting compressive strength. Calcium-based accelerators or triethanolamine (TEA) significantly shortened the stiffening time to 7.4 h, which facilitated the samples to fulfill all the CLSM requirements. This study presents a new and eco-friendly approach to transform alum sludge into value-added construction materials in a sustainable way. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Review of Sustainability in Self-compacting Concrete: the Use of Waste and Mineral Additives as Supplementary Cementitious Materials and Aggregates,Self-compacting concrete; mineral additives; agricultural waste; structural properties; rheology,F FLY-ASH; CONSOLIDATING CONCRETE; HIGH VOLUMES; PERFORMANCE; POWDER,"Concrete is one of the most commonly used construction materials, but there is a need to develop a new and sustainable technology to make it more affordable. With the advancement in technology, concrete is no longer seen as a composite of three elements (binder, aggregate, and water). The distinctive workability properties of SCC make it unique in the concrete industry. This review has assessed the materials, strength and rheological properties of agricultural waste, industrial waste and mineral additives in SCC production. The effect of the utilization of these additives and replacements on structural, mechanical and rheological properties of SCC has been studied. This review has revealed that the use of both industrial and agricultural waste enhances the strength properties of SCC. Additionally, the use of agricultural waste improves the rheological properties of fresh concrete. The utilization of expansive materials should be discouraged in SCC production. This review has revealed that SCC developments ensure a good balance between deformability and stability. It is therefore recommended that SCC is utilized in pavement construction, particularly when high axle load is expected.",2018
Investigation of Some Engineering Properties of Concrete Made With Recycled Aggregate in Different Ratios,Recycled concrete aggregate; waste concrete; compressive strength; wetting and drying; bond strength between rebars and concrete,BOND BEHAVIOR; STEEL REBARS; FLY-ASH; SHRINKAGE; STRENGTH,"Nowadays concrete is the most commonly used construction material. Many researchers are investigating the use of recycled aggregate in concrete because 70-75% of concrete is composed of aggregates and using aggregates produced from waste concrete has environmental, ecologic and economic impacts and reduces the energy and natural resources consumption. In this study properties of aggregates provided from crushing waste concrete and also engineering properties of concrete made from these aggregates have been investigated. Fine and coarse recycled concrete aggregates (RCA) were replaced in the ratio of 0, 20, 40, 60, 80 and 100% with fine and coarse crushed aggregates in concrete mix design. CEM I 42,5 R cement was used as a binder and replaced by 20% of the cement's weight with fly ash in all mixtures. Due to the high water absorption of the RCA in comparison to the crushed aggregates, the slump was decreased by increasing RCA substitution ratio in the mixtures. Control concrete (CC) has gained the highest compressive strength in all ages. 28 and 90-day compressive strength of normally cured concretes, the bond strength between concrete specimens and rebars and compressive strength of concretes subjected to the wetting and drying cycles were decreased by increasing RCA substitution ratio in the mixtures.",2018
THE APPLICATION OF METALLURGICAL TECHNOGENIC PRODUCTS AS RAW MATERIALS FOR ROAD CONSTRUCTION MATERIALS,asphalt concrete; converter slag; hardening system; physical and chemical properties; road construction,,"The possibility is established of intensifying the processes of structure formation and improving the properties of asphalt concrete compositions due to the use of converter slags in them. The possibility of obtaining asphalt concretes on porous slag aggregates with the use of metallurgical waste as a mineral dust was confirmed. The research show the possibility of reducing the consumption of bitumen to 6% in asphalt concretes on porous slag aggregates. The research justifies the technology of using converter slags in road fills and bases, in asphalt concretes together with the ""Recommendations on the technology of using converter slags in the structural elements of road pavement from asphalt concrete."" The investigated aggregates from powder waste of local industry meet the requirements of the regulatory documentation and can be recommended for the application in asphalt concretes. This makes it possible to utilize finely dispersed industrial waste, which contributes to the reduction of environmental pollution of the industrial zone, of groundwater and of the atmosphere with land waste products and waste run-off products.",2018
Residual Tensile Strength and Bond Properties of GFRP Bars after Exposure to Elevated Temperatures,temperature effects; post-fire strength; glass fiber reinforced polymer bars; construction materials; reinforced concrete; high temperature properties,REINFORCING BARS; MECHANICAL-PROPERTIES; CONCRETE BEAMS; FRP REBARS; BEHAVIOR; COMPOSITES; FIRE,"The use of fiber reinforced polymer (FRP) bars in reinforced concrete members enhances corrosion resistance when compared to traditional steel reinforcing bars. Although there is ample research available on the behavior of FRP bars and concrete members reinforced with FRP bars under elevated temperatures (due to fire), there is little published information available on their post-fire residual load capacity. This paper reports residual tensile strength, modulus of elasticity, and bond strength (to concrete) of glass fiber reinforced polymer (GFRP) bars after exposure to elevated temperatures of up to 400 degrees C and subsequent cooling to an ambient temperature. The results showed that the residual strength generally decreases with increasing temperature exposure. However, as much as 83% of the original tensile strength and 27% of the original bond strength was retained after the specimens were heated to 400 degrees C and then cooled to ambient temperature. The residual bond strength is a critical parameter in post-fire strength assessments of GFRP-reinforced concrete members.",2018
A comparative study on bond strength of normal and geopolymer concrete to steel bar,geopolymer; concrete; bond strength; bond slip,BEHAVIOR,"One of the new construction materials evolved as a replacement of Ordinary Portland cement concrete is geopolymer concrete. Many investigations have been done to develop geopolymer concrete as a material but studies on structural use of geopolymer concrete are very rare. This paper presents the experimental investigation on the bond behaviour of normal and geopolymer concrete. The bond strength behaviour of 27 geopolymer concrete prisms of size 100x100x200 mm(3) of grades M20, M35 and M50 reinforced with 16 mm TMT rod is studied using pull out tests. An equation for the bond strength of geopolymer concrete is obtained from the experimental results and is also validated. The normalized bond-slip behaviour of GPC can be idealized as the curve of two variables.",2018
High-velocity impact behaviour of a new hybrid fibre-reinforced cementitious composite,engineered cementitious composite; impact; impact resistance; polyvinyl-alcohol fibres; steel fibres,STRAIN-HARDENING BEHAVIOR; PVA-ECC; CONCRETE; RESISTANCE,"In this article, a new engineered cementitious composite reinforced with 0.6% volume steel fibres and 1.5% volume polyvinyl-alcohol fibres is developed aiming for enhanced impact resistance compared to other construction materials. Fundamental mechanical properties of the new composite including the compressive strength, Young's modulus, tensile strength and flexural behaviour were tested. To calibrate the impact resistance of the new composite, high-velocity impact tests of panels made of the new material were conducted when subjected to impact from a standard 7.62 mm round in-service bullet fired from a knight armament SR-25 military rifle. For comparison, plain concrete panels and concrete panels reinforced with 2% volume steel fibres were also tested. The post-impact responses of the panels in terms of crater sizes, damage failure mode, fragmentation size, weight and regress velocity are analysed and compared to characterize the impact resistance of the new engineered cementitious composite. The test results demonstrate significantly enhanced impact and shatter resistance of the new hybrid fibre-reinforced cementitious composite with reduced spalling and fragmentation, localized damage areas and improved cracking resistance.",2018
Damage evaluation of ultra-high performance concrete columns after blast loads,Blast load; ultra-high performance concrete column; pressure-impulse diagram; damage evaluation; residual strength,REINFORCED CEMENTITIOUS COMPOSITES; STRENGTH CONCRETE; DYNAMIC STRENGTH; STEEL FIBERS; BEHAVIOR; TENSILE; MODEL; CAPACITY; SLABS,"As emerging advanced construction material, ultra-high performance concretes have seen increasing field applications over the past two decades to take advantages of their ultra-high mechanical strength and durability; yet the systematic study on its dynamic behaviour under impact and blast loads is not commonly seen. This article presents an experimental and numerical study on the static and dynamic behaviour of an existing ultra-high performance concrete material. Experimental study on its flexural behaviour under static loads is conducted and an inverse study is carried out to derive its uniaxial tensile constitutive law. The derived relationship is used in the material model in hydro-code LS-DYNA together with dynamic material properties to study ultra-high performance concrete columns under blast loads. The residual loading capacity of the column is studied and pressure-impulse diagrams for assessing the ultra-high performance concrete column damage under blast loads are proposed. Parametric study on effects of ultra-high performance concrete strength, column height, cross-section size and reinforcement ratio is performed and analytical equations are proposed for generating pressure-impulse diagrams for generic ultra-high performance concrete columns.",2018
Plain and Ultrafine Fly Ashes Mortars for Environmentally Friendly Construction Materials,ultrafine fly ash; fly ash; high volume fly ash; replacement of Portland cement; sustainability,SELF-COMPACTING CONCRETE; MECHANICAL-PROPERTIES; COMPRESSIVE STRENGTH; PERFORMANCE; FINENESS; COAL,"This paper is aimed to study the rheological and physical performance of mortars manufactured replacing Portland-based cements with low calcium siliceous fly ash (FA) or ultrafine fly ash (UFFA). Five different types of cement (CEM I, CEM II/A-LL, CEM III/A, CEM III/B, and CEM IV according to EN 197-1) were used. Mortars were manufactured with FA or UFFA replacing 5%, 15%, 25%, 35%, and 50% of cement mass. Results indicate that compressive strength of mortars with UFFA is considerably higher than that of mixtures containing traditional FA, both at early and long ages. Moreover, experimental data reveal that replacement of cement with up to 25% of UFFA determines higher compressive strength at 7, 28, and 84 days than plain mortars (containing cement only), regardless of the type of cement used. Mortars manufactured with 35% or 50% of UFFA show slightly lower or similar compressive strength compared to the reference mortar (containing cement only). In addition, the results show values of the strength activity index of mortars made with FA 25%, 23%, and 20% lower than the reference corresponding mortars (cement only) at 7, 28, and 84 days, respectively. The grinding of FA, despite resulting in an increase in production energy and CO2 emissions compared to unmilled FA, allows a wide use of these SCM (Supplementary Cementitious Materials) in place of cement, reducing the environmental impact of mortars up to 40% at the 28-day strength class. The use of UFFA ensures better resistance in CaCl2-rich environments.",2018
"Influence of Graphene Nanosheets on Rheology, Microstructure, Strength Development and Self-Sensing Properties of Cement Based Composites",graphene oxide; GO-cement composite; microstructure; rheological properties; bond strengthening; self-sensing,MECHANICAL-PROPERTIES; ELASTIC PROPERTIES; REINFORCED CEMENT; CARBON NANOTUBES; PORTLAND-CEMENT; REDUCING AGENT; OXIDE; CONCRETE; NANOPLATELET; TEMPERATURE,"In this research, Graphene oxide (GO), prepared by modified hammer method, is characterized using X-ray Diffraction (XRD), Fourier Transform Infrared (FT-IR) Spectrometry and Raman spectra. The dispersion efficiency of GO in aqueous solution is examined by Ultraviolet-visible spectroscopy and it is found that GO sheets are well dispersed. Thereafter, rheological properties, flow diameter, hardened density, compressive strength and electrical properties of GO based cement composite are investigated by incorporating 0.03% GO in cement matrix. The reasons for improvement in strength are also discussed. Rheological results confirm that GO influenced the flow behavior and enhanced the viscosity of the cement based system. From XRD and Thermogravimetric Analysis (TGA) results, it is found that more hydration occurred when GO was incorporated in cement based composite. The GO based cement composite improves the compressive strength and density of mortar by 27% and 1.43%, respectively. Electrical properties results showed that GO-cement based composite possesses self-sensing characteristics. Hence, GO is a potential nano-reinforcement candidate and can be used as self-sensing sustainable construction material.",2018
APPLICATION OF FIBERS FROM END-OF-LIFE TIRES AS A SELF-COMPACTING CONCRETE REINFORCEMENT - AN EXPERIMENTAL STUDY,Fibers from end-of-life tyres; Self-compacting concrete; Flexural tensile strength,STEEL FIBERS; MECHANICAL-PROPERTIES; FLEXURAL BEHAVIOR; WASTE TIRES; PERFORMANCE; STRENGTH; COMPOSITES; RATIO; SCC,"Concrete reinforced with various types of fibers is increasingly used construction material. The currently applied steel fibers are characterized by various geometrical parameters and are produced specially for this purpose. The paper deals with application of steel fibers coming from end-of-life tires (RSF) in self-compacting concrete. The geometry of RSF with small diameter, variable length and their curved longitudinal shape causes doubts in their effectiveness in the concrete mix in comparison to industrial fibers. To clarify the real influence of RSF on mechanical properties of self- compacting concrete (SCC) the compression and flexural tests were evaluated. The high amounts of RSF equal to 1% and 1.5% were choosen. As expected, RSF slightly influenced the compressive strength of SCC. The results from the four-point flexural tensile tests demonstrate that the RSF fibers were not only a material that improves the ductility of brittle SCC matrix but also were uniformly distributed in the matrix. The high amounts of RSF truly decreased the rheological parameters of SCC, what was tested in slump flow and L-box test, however, did not have a negative influence on the homogeneity of the mix. Concluding, the fibers from end-of-life tires were fibers that can be successfully used as a randomly distributed reinforcement of self-compacting concrete.",2018
Assessment of Radioactivity in Concrete Made with e-Waste Plastic,building materials; radioactivity; radon emanation; electronic waste; concrete; coarse aggregate,NATURAL RADIOACTIVITY,"The paper reports the impact of e-waste plastic [high-impact polystyrene (HIPS)] mixing in concrete on its radioactivity profile. The concrete was prepared with HIPS as a partial replacement for coarse aggregate in varying percentages by volume and radioactivity concentrations of U-238, Th-232, and K-40 were measured using gamma-ray spectrometer and radon activity by solid state nuclear track detector (SSNTD) technique. Both gamma radiation and radon activity in standard concrete and concrete with HIPS were well within the permissible limit. However, the gamma-radiation level and radon activity decreased with an increase in HIPS content of the concrete. The study concludes that the concrete with HIPS does not pose any radiation hazard and, hence, is suitable as a construction material.",2018
Enhancing the strength of pre-made foams for foam concrete applications,Foam concrete; Stability; Compressive strength; Pore size distribution; Alkali activated cement; Geopolymer,ALKALI-ACTIVATED MATERIALS; ASH-BASED GEOPOLYMER; FLY-ASH; THERMAL-PROPERTIES; MIX DESIGN; POROSITY; AGENT; STABILITY; PARTICLES; BEHAVIOR,"Chemical and mechanical foaming techniques are commonly used in foam concrete technology for developing lightweight construction materials. The characteristics of the foam before the lightweight structure sets and maintains its shape has a great impact on the properties of foamed concretes. The tendency of the foams to coalesce and collapse during the preparation process brings some challenges in controlling the properties of cellular structures. Consequently, it is critical to improve the stability of fresh foams in order to produce high quality cellular structures using a predictable and reliable approach. Aggregating the liquid film around bubbles is known to be effective in improving the stability of foams, but the impact of this stabilizing method has not been investigated for foam concrete applications. In this paper, Xanthan gum (with a thickening capacity) has been utilized as the foam stabilizer to aggregate the liquid film. This stabilizing method is shown to significantly enhance the pore size distribution of foam concretes. The resulting pre-made foams are remarkably more stable than the control foam, and the mechanical properties of the final cellular structure are considerably improved (about 34% in mechanical foaming and 20% in the chemical foaming technique). (C) 2018 Elsevier Ltd. All rights reserved.",2018
Development of porous lightweight clay bricks using a replication method,Brick; Replication; Porosity; Thermal insulation,THERMAL-CONDUCTIVITY; BLACK,"This study focused on porous lightweight clay bricks as a construction material as opposed to autoclaved aerated concrete and pumice blocks. Traditional clay bricks exhibit good stability against environmental conditions and are an economical alternative compared to other construction materials. Furthermore, clay bricks have better mechanical properties than autoclaved aerated concrete and pumice blocks but poorer thermal insulation properties; hence, their use in buildings is becoming increasingly unfavourable. This study focused on developing porous lightweight clay bricks with relatively better thermal insulation properties using a replication method.",2018
